bcr_sample_barcode	bcr_aliquot_barcode	amount	bcr_aliquot_uuid	biospecimen_barcode_bottom	center_id	concentration	date_of_shipment	plate_column	plate_id	plate_row	source_center
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01D-1431-02	13.30	4786a24c-d127-43fb-9d9c-ff59622b7b24	0103953158	02	0.16	2010-11-30	1	1431	A	22
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01D-1432-01	6.67	e20f7423-4504-4421-b6d9-861f65220233	0103952966	01	0.16	2010-11-30	1	1432	A	22
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01D-1433-05	26.70	12ca1d21-97ef-4947-bc65-14b7055307fa	0103952870	05	0.16	2010-11-30	1	1433	A	22
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01D-1434-08	40.00	2c84e904-0cbc-4645-b7e5-94ec45e61268	0103951622	08	0.05	2010-11-30	1	1434	A	22
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01R-1436-07	26.70	78a8e33e-fd10-4dcd-b8fd-aad93db18c45	0103952774	07	0.16	2010-11-30	1	1436	A	22
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01T-1435-13	30.00	192a8851-d737-4bb2-a56c-11fb83a554f5	0103952458	13	0.10	2010-11-30	1	1435	A	22
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01W-1487-08	80.00	5614719b-c463-4c6e-903b-28e5b6c96334	1049952173	08	0.50	2011-01-03	11	1487	A	22
TCGA-BA-4074-10A	TCGA-BA-4074-10A-01D-1431-02	13.30	9dae3ca2-1f5a-458e-98ef-7451d5f41ebc	0103953067	02	0.14	2010-11-30	5	1431	H	22
TCGA-BA-4074-10A	TCGA-BA-4074-10A-01D-1432-01	6.67	3b92e28e-43fe-42b7-85db-529b5bac8909	0103952875	01	0.14	2010-11-30	5	1432	H	22
TCGA-BA-4074-10A	TCGA-BA-4074-10A-01D-1434-08	40.00	c28b58ca-f8e1-4063-908e-3ecf58104b68	0103951531	08	0.05	2010-11-30	5	1434	H	22
TCGA-BA-4074-10A	TCGA-BA-4074-10A-01W-1487-08	80.00	61a73af5-10ee-4941-ae04-2a53e9f2f449	1049952223	08	0.50	2011-01-03	11	1487	F	22
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01D-1431-02	13.30	4b0b38f4-ac21-4f3e-8a8e-a69fba619629	0103953135	02	0.16	2010-11-30	1	1431	B	22
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01D-1432-01	6.67	9e1f8679-015c-410f-b7bf-a7a5eec6cd76	0103952943	01	0.16	2010-11-30	1	1432	B	22
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01D-1433-05	26.70	8cb3f37b-cd90-4c21-aae5-55ba24bdb796	0103952847	05	0.16	2010-11-30	1	1433	B	22
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01D-1434-08	40.00	5b3fec35-d127-4cb5-859b-edac003acdf3	0103951599	08	0.05	2010-11-30	1	1434	B	22
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01R-1436-07	26.70	85034d8f-c10c-4db2-ade2-f26ea7cf2d95	0103952751	07	0.14	2010-11-30	1	1436	B	22
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01T-1435-13	30.00	0a139519-cb61-495a-9986-81c354b8726a	0103953039	13	0.10	2010-11-30	1	1435	B	22
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01W-1487-08	80.00	dbbe3d3d-e3e4-4e91-ab1a-75153ae2e73f	1049952176	08	0.50	2011-01-03	11	1487	B	22
TCGA-BA-4075-10A	TCGA-BA-4075-10A-01D-1431-02	13.30	515d017e-d7a6-4cff-ac82-f58e5a47005d	0103953153	02	0.14	2010-11-30	6	1431	A	22
TCGA-BA-4075-10A	TCGA-BA-4075-10A-01D-1432-01	6.67	ba7ca1c2-bd32-4807-930e-fac00a046990	0103952961	01	0.14	2010-11-30	6	1432	A	22
TCGA-BA-4075-10A	TCGA-BA-4075-10A-01D-1434-08	40.00	5e8d7595-2397-40ce-8c2e-63b352605fe6	0103951617	08	0.05	2010-11-30	6	1434	A	22
TCGA-BA-4075-10A	TCGA-BA-4075-10A-01W-1487-08	80.00	a73e30a9-0387-4b19-90df-155d6a077891	1049952244	08	0.50	2011-01-03	11	1487	G	22
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01D-1431-02	13.30	54f77a3e-290a-4073-8012-4873579e95e9	0103953134	02	0.15	2010-11-30	1	1431	C	22
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01D-1432-01	6.67	fb43b6dc-1336-4365-b852-969887186019	0103952942	01	0.15	2010-11-30	1	1432	C	22
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01D-1433-05	26.70	66d66f24-99ec-42a3-8395-b2bf40d49e5d	0103952846	05	0.15	2010-11-30	1	1433	C	22
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01D-1434-08	40.00	93dda6a6-907d-4dc2-9391-36dd09c767c6	0103951598	08	0.05	2010-11-30	1	1434	C	22
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01D-2266-10	60.00	e2b5c926-491d-430d-8d9c-5c73d7752d1b	0128285291	10	0.05	2012-04-30	1	2266	A	22
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01R-1436-07	26.70	30dc1f2d-9d27-4c6d-830a-0947bcf79cd0	0103952750	07	0.16	2010-11-30	1	1436	C	22
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01T-1435-13	30.00	fc98af87-d4a0-452d-a36d-de1face92a5c	0103953038	13	0.10	2010-11-30	1	1435	C	22
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01W-1487-08	80.00	0bc145b3-31d9-4ffd-9ae2-489b40bed341	1049952197	08	0.50	2011-01-03	11	1487	C	22
TCGA-BA-4076-10A	TCGA-BA-4076-10A-01D-1431-02	13.30	01549853-3132-42a7-a2ed-5ad365eaa63f	0103953140	02	0.14	2010-11-30	6	1431	B	22
TCGA-BA-4076-10A	TCGA-BA-4076-10A-01D-1432-01	6.67	b9efa5f4-a400-49b5-a5f0-a5b7347bae66	0103952948	01	0.14	2010-11-30	6	1432	B	22
TCGA-BA-4076-10A	TCGA-BA-4076-10A-01D-1434-08	40.00	d6c21ecb-1cb2-45fd-84c0-186287708883	0103951604	08	0.05	2010-11-30	6	1434	B	22
TCGA-BA-4076-10A	TCGA-BA-4076-10A-01D-2266-10	60.00	9249eb3d-5186-489e-b7fd-5fff554e4b6e	0128284474	10	0.05	2012-04-30	1	2266	H	22
TCGA-BA-4076-10A	TCGA-BA-4076-10A-01W-1487-08	80.00	20bb5976-ce8c-46b1-9054-04966abbf729	1049952174	08	0.50	2011-01-03	12	1487	A	22
TCGA-BA-4077-01B	TCGA-BA-4077-01B-01D-1431-02	13.30	8428602a-5eec-4d09-b187-02b1cff24eb5	0103953111	02	0.15	2010-11-30	1	1431	D	22
TCGA-BA-4077-01B	TCGA-BA-4077-01B-01D-1432-01	6.67	a2d2b82f-f217-4aed-97da-c6ba3f5ce4dc	0103952919	01	0.15	2010-11-30	1	1432	D	22
TCGA-BA-4077-01B	TCGA-BA-4077-01B-01D-1433-05	26.70	487aa131-0dee-428f-8794-d169805eceeb	0103952823	05	0.15	2010-11-30	1	1433	D	22
TCGA-BA-4077-01B	TCGA-BA-4077-01B-01D-1434-08	40.00	9b37211a-2150-4d33-bc6a-9d6a0a429708	0103951575	08	0.05	2010-11-30	1	1434	D	22
