bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-BA-4074-01A	TCGA-BA-4074-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-4074-10A	TCGA-BA-4074-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-4074-10A	TCGA-BA-4074-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-BA-4075-01A	TCGA-BA-4075-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-4075-10A	TCGA-BA-4075-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-4075-10A	TCGA-BA-4075-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-BA-4076-01A	TCGA-BA-4076-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-4076-10A	TCGA-BA-4076-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-4076-10A	TCGA-BA-4076-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-4077-01B	TCGA-BA-4077-01B-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-4077-01B	TCGA-BA-4077-01B-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-BA-4077-01B	TCGA-BA-4077-01B-01T	Total RNA	[Not Available]	[Not Available]
TCGA-BA-4077-01B	TCGA-BA-4077-01B-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-4077-10A	TCGA-BA-4077-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-4077-10A	TCGA-BA-4077-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-4078-01A	TCGA-BA-4078-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-4078-01A	TCGA-BA-4078-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-BA-4078-01A	TCGA-BA-4078-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-BA-4078-01A	TCGA-BA-4078-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-4078-10A	TCGA-BA-4078-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-4078-10A	TCGA-BA-4078-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5149-01A	TCGA-BA-5149-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5149-01A	TCGA-BA-5149-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5149-01A	TCGA-BA-5149-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5149-10A	TCGA-BA-5149-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5149-10A	TCGA-BA-5149-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5151-01A	TCGA-BA-5151-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5151-01A	TCGA-BA-5151-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5151-01A	TCGA-BA-5151-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5151-10A	TCGA-BA-5151-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5151-10A	TCGA-BA-5151-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5152-01A	TCGA-BA-5152-01A-02D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5152-01A	TCGA-BA-5152-01A-02R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5152-01A	TCGA-BA-5152-01A-02W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5152-10A	TCGA-BA-5152-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5152-10A	TCGA-BA-5152-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5153-01A	TCGA-BA-5153-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5153-01A	TCGA-BA-5153-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5153-01A	TCGA-BA-5153-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5153-10A	TCGA-BA-5153-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5153-10A	TCGA-BA-5153-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5555-01A	TCGA-BA-5555-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5555-01A	TCGA-BA-5555-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5555-01A	TCGA-BA-5555-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5555-10A	TCGA-BA-5555-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5555-10A	TCGA-BA-5555-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5556-01A	TCGA-BA-5556-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5556-01A	TCGA-BA-5556-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5556-01A	TCGA-BA-5556-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5556-10A	TCGA-BA-5556-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
