"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GLYCOLYSIS_GLUCONEOGENESIS.html"	"LDHC"	"LDHB"	"LDHA"	"PGAM1"	"ADH1C"	"PGAM2"	"ADH1B"	"ADH1A"	"ACSS2"	"PDHB"	"ACSS1"	"PGAM4"	"PDHA2"	"PDHA1"	"LDHAL6B"	"PFKL"	"LDHAL6A"	"FBP1"	"PFKP"	"ALDH3B2"	"FBP2"	"PFKM"	"ALDH3B1"	"PGM2"	"G6PC"	"ALDH7A1"	"ALDH1B1"	"PKM2"	"PGM1"	"DLD"	"PKLR"	"ALDH9A1"	"ALDOA"	"ALDOC"	"ALDOB"	"ADH5"	"HK2"	"HK1"	"ADH6"	"ADH7"	"ALDH3A2"	"G6PC2"	"ALDH3A1"	"GALM"	"TPI1"	"AKR1A1"	"ADH4"	"HK3"	"ALDH1A3"	"ENO2"	"ENO3"	"GAPDH"	"ENO1"	"BPGM"	"DLAT"	"PCK2"	"PCK1"	"GPI"	"GCK"	"ALDH2"	"PGK1"	"PGK2"																																																																																																																																																																																																																																																																																																																																																																																																		
"KEGG_CITRATE_CYCLE_TCA_CYCLE"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_CITRATE_CYCLE_TCA_CYCLE.html"	"LOC642502"	"OGDHL"	"OGDH"	"PDHB"	"IDH3G"	"LOC283398"	"IDH2"	"IDH1"	"PDHA2"	"PDHA1"	"SUCLA2"	"FH"	"DLST"	"ACO2"	"SUCLG2"	"ACO1"	"SUCLG1"	"CS"	"IDH3B"	"ACLY"	"DLAT"	"PCK2"	"IDH3A"	"PCK1"	"SDHA"	"SDHB"	"SDHC"	"SDHD"	"DLD"	"MDH2"	"PC"	"MDH1"																																																																																																																																																																																																																																																																																																																																																																																																																																
"KEGG_PENTOSE_PHOSPHATE_PATHWAY"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PENTOSE_PHOSPHATE_PATHWAY.html"	"ALDOA"	"TALDO1"	"ALDOC"	"PGD"	"ALDOB"	"TKTL2"	"TKTL1"	"DERA"	"RPIA"	"PRPS1L1"	"PFKL"	"PFKP"	"FBP1"	"TKT"	"RBKS"	"PFKM"	"FBP2"	"LOC729020"	"PGM2"	"GPI"	"PGLS"	"RPE"	"G6PD"	"H6PD"	"PGM1"	"PRPS2"	"PRPS1"																																																																																																																																																																																																																																																																																																																																																																																																																																					
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS.html"	"UGDH"	"UGT1A7"	"UGT1A6"	"UGT1A9"	"CRYL1"	"UGT1A8"	"UGT1A3"	"UGT1A5"	"UGT1A4"	"UGT2A1"	"UGT2A3"	"UGT2B28"	"GUSB"	"LOC729020"	"UGT1A1"	"DHDH"	"UGT1A10"	"RPE"	"UGT2B17"	"AKR1B1"	"UGT2B11"	"UGT2B4"	"UGT2B10"	"UGT2B15"	"DCXR"	"UGP2"	"UGT2B7"	"XYLB"																																																																																																																																																																																																																																																																																																																																																																																																																																				
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM.html"	"ALDOA"	"SORD"	"PFKFB4"	"PFKFB3"	"ALDOC"	"PFKFB2"	"ALDOB"	"PFKFB1"	"HK2"	"HK1"	"GMPPB"	"MTMR2"	"TPI1"	"MTMR1"	"HK3"	"GMPPA"	"TSTA3"	"MTMR6"	"MTMR7"	"PFKL"	"GMDS"	"PFKP"	"FBP1"	"PFKM"	"FBP2"	"PMM2"	"PMM1"	"KHK"	"MPI"	"AKR1B10"	"AKR1B1"	"FUK"	"PHPT1"	"FPGT"																																																																																																																																																																																																																																																																																																																																																																																																																														
"KEGG_GALACTOSE_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GALACTOSE_METABOLISM.html"	"LALBA"	"HK2"	"HK1"	"GLB1"	"G6PC2"	"GALK2"	"GALK1"	"HK3"	"GALE"	"B4GALT1"	"B4GALT2"	"PFKL"	"PFKP"	"GALT"	"PFKM"	"PGM2"	"G6PC"	"GCK"	"GLA"	"GANC"	"MGAM"	"PGM1"	"AKR1B1"	"GAA"	"LCT"	"UGP2"																																																																																																																																																																																																																																																																																																																																																																																																																																						
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ASCORBATE_AND_ALDARATE_METABOLISM.html"	"UGDH"	"ALDH3A2"	"UGT1A7"	"UGT1A6"	"UGT1A9"	"UGT1A8"	"UGT1A3"	"UGT1A5"	"MIOX"	"UGT1A4"	"UGT2A1"	"UGT2A3"	"UGT2B28"	"UGT1A1"	"UGT1A10"	"ALDH7A1"	"UGT2B17"	"ALDH1B1"	"ALDH2"	"UGT2B11"	"UGT2B4"	"UGT2B10"	"UGT2B15"	"ALDH9A1"	"UGT2B7"																																																																																																																																																																																																																																																																																																																																																																																																																																							
"KEGG_FATTY_ACID_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_FATTY_ACID_METABOLISM.html"	"ACOX1"	"ACADSB"	"CPT2"	"EHHADH"	"ADH1C"	"ADH5"	"ADH6"	"ADH1B"	"ECHS1"	"ADH1A"	"ADH7"	"ACAT2"	"ACAT1"	"DCI"	"ALDH3A2"	"HADHA"	"ACOX3"	"HADHB"	"ACSL1"	"CYP4A22"	"ADH4"	"ACSL4"	"HADH"	"ACSL3"	"ACSL6"	"ACSL5"	"CPT1C"	"CPT1B"	"GCDH"	"ACAA2"	"ACADM"	"ACADS"	"ACADL"	"PECI"	"CPT1A"	"ACADVL"	"CYP4A11"	"ALDH7A1"	"ALDH1B1"	"ALDH2"	"ALDH9A1"	"ACAA1"																																																																																																																																																																																																																																																																																																																																																																																																																						
"KEGG_STEROID_BIOSYNTHESIS"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_STEROID_BIOSYNTHESIS.html"	"TM7SF2"	"SOAT1"	"SOAT2"	"EBP"	"LIPA"	"CYP51A1"	"LSS"	"SC4MOL"	"FDFT1"	"CEL"	"CYP27B1"	"SQLE"	"DHCR7"	"HSD17B7"	"SC5DL"	"NSDHL"	"DHCR24"																																																																																																																																																																																																																																																																																																																																																																																																																																															
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS.html"	"ACOX2"	"CYP46A1"	"HSD3B7"	"AMACR"	"CYP7B1"	"CYP39A1"	"BAAT"	"AKR1C4"	"CYP27A1"	"CH25H"	"CYP7A1"	"HSD17B4"	"CYP8B1"	"SCP2"	"AKR1D1"	"SLC27A5"																																																																																																																																																																																																																																																																																																																																																																																																																																																
"KEGG_STEROID_HORMONE_BIOSYNTHESIS"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_STEROID_HORMONE_BIOSYNTHESIS.html"	"CYP3A4"	"CYP3A5"	"CYP3A7"	"CYP11B1"	"CYP11B2"	"SULT2B1"	"AKR1C3"	"CYP3A43"	"AKR1C2"	"AKR1C4"	"CYP7A1"	"SRD5A3"	"SRD5A1"	"SULT1E1"	"SRD5A2"	"AKR1C1"	"STS"	"CYP11A1"	"CYP1A1"	"UGT1A1"	"UGT1A10"	"UGT2B17"	"HSD11B1"	"UGT2B11"	"HSD11B2"	"UGT2B10"	"UGT2B15"	"AKR1D1"	"HSD3B2"	"HSD3B1"	"CYP1B1"	"HSD17B2"	"HSD17B1"	"HSD17B12"	"COMT"	"UGT1A7"	"UGT1A6"	"UGT1A9"	"UGT1A8"	"UGT1A3"	"UGT1A5"	"UGT1A4"	"HSD17B6"	"UGT2A1"	"HSD17B3"	"UGT2A3"	"UGT2B28"	"HSD17B7"	"CYP19A1"	"HSD17B8"	"CYP21A2"	"CYP7B1"	"CYP17A1"	"UGT2B4"	"UGT2B7"																																																																																																																																																																																																																																																																																																																																																																																																									
"KEGG_OXIDATIVE_PHOSPHORYLATION"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_OXIDATIVE_PHOSPHORYLATION.html"	"LOC642502"	"ATP6AP1"	"NDUFAB1"	"COX5A"	"COX5B"	"LOC100133737"	"UQCR10"	"UQCR11"	"ATP8"	"ATP6"	"LOC727947"	"COX6C"	"LOC644310"	"ATP5C1"	"ATP6V1G3"	"COX7B"	"COX7C"	"ATP6V1B2"	"ATP12A"	"ATP6V1B1"	"ATP6V0B"	"ATP6V0C"	"COX6B1"	"COX6B2"	"ATP5J2"	"COX8C"	"NDUFA4L2"	"COX8A"	"LHPP"	"LOC390424"	"PPA2"	"PPA1"	"UQCRHL"	"NDUFV3"	"ATP6V0E2"	"COX3"	"COX2"	"NDUFV1"	"COX1"	"NDUFV2"	"COX6A2"	"COX6A1"	"ATP5D"	"UQCRC2"	"ATP5E"	"COX11"	"ATP6V0E1"	"UQCRC1"	"COX10"	"ATP5B"	"CYC1"	"UQCRFS1"	"UQCRQ"	"NDUFS7"	"NDUFS6"	"NDUFS5"	"NDUFS4"	"NDUFS8"	"ATP5L"	"ATP5O"	"NDUFS3"	"ATP5I"	"ATP6V0D1"	"NDUFS2"	"ATP6V0D2"	"ATP5H"	"COX17"	"NDUFS1"	"COX15"	"ATP5J"	"ND1"	"NDUFB10"	"ND4"	"ATP4A"	"ATP4B"	"ND5"	"ND2"	"ND3"	"NDUFC2"	"COX4I2"	"ATP6V1H"	"COX4I1"	"NDUFC1"	"NDUFA10"	"ATP6V1D"	"NDUFA11"	"ATP6V1F"	"ATP6V1C1"	"ATP6V1C2"	"ATP6V1A"	"UQCRH"	"UQCRB"	"NDUFB3"	"NDUFB4"	"NDUFB5"	"NDUFB6"	"NDUFB7"	"NDUFB8"	"NDUFB9"	"COX7B2"	"CYTB"	"ATP5G2"	"ATP6V1G2"	"ATP5G1"	"COX7A2L"	"ATP6V1G1"	"ATP5G3"	"NDUFB1"	"NDUFB2"	"ND6"	"TCIRG1"	"NDUFA4"	"NDUFA5"	"NDUFA2"	"NDUFA3"	"COX7A2"	"NDUFA8"	"COX7A1"	"NDUFA9"	"NDUFA6"	"NDUFA7"	"ATP5F1"	"NDUFA1"	"SDHA"	"SDHB"	"ND4L"	"LOC100130247"	"ATP6V1E1"	"SDHC"	"ATP6V1E2"	"SDHD"	"ATP6V0A1"	"ATP5A1"	"ATP6V0A4"	"ATP6V0A2"																																																																																																																																																																																																																																																																																																																									
"KEGG_PURINE_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PURINE_METABOLISM.html"	"ADCY3"	"ADCY4"	"FHIT"	"ADCY1"	"GDA"	"GMPR2"	"ADCY2"	"ADCY7"	"ADCY8"	"ADCY5"	"ADCY6"	"PDE3B"	"PNP"	"PRIM1"	"NT5C3"	"PDE4A"	"PDE4B"	"NT5C2"	"PRIM2"	"NUDT2"	"NUDT5"	"POLE"	"PDE4D"	"PDE4C"	"POLR2J2"	"NME7"	"POLR2J3"	"NME6"	"NME4"	"NME5"	"NME2"	"NME3"	"NME1"	"PDE5A"	"ADSL"	"PRPS2"	"PRPS1"	"XDH"	"ADSS"	"ENPP1"	"ENPP3"	"NT5C1A"	"NT5C1B"	"PNPT1"	"ZNRD1"	"RRM2B"	"PPAT"	"ADA"	"PDE6A"	"PDE6B"	"POLE4"	"PDE6C"	"PDE6D"	"POLE2"	"POLE3"	"ENTPD8"	"ENTPD5"	"ENTPD6"	"ENTPD3"	"PRPS1L1"	"ENTPD4"	"ENTPD1"	"ENTPD2"	"ALLC"	"GUCY2F"	"C17ORF48"	"ADSSL1"	"AK1"	"AK2"	"AK5"	"GUCY2C"	"AK7"	"PDE6H"	"PDE6G"	"GART"	"GUCY2D"	"POLD3"	"POLD4"	"PDE7B"	"PDE7A"	"POLD1"	"POLD2"	"GUK1"	"PDE11A"	"CANT1"	"NT5M"	"GUCY1A2"	"GUCY1A3"	"PDE8B"	"PDE8A"	"ADCY10"	"NT5E"	"IMPDH1"	"IMPDH2"	"NT5C"	"POLR1E"	"POLR1D"	"POLR1A"	"PDE10A"	"POLR1C"	"POLR1B"	"DGUOK"	"GMPR"	"GMPS"	"PRUNE"	"RRM2"	"ADK"	"PKM2"	"RRM1"	"PKLR"	"GUCY1B3"	"PDE9A"	"PRHOXNB"	"POLR2H"	"POLR2G"	"POLR2F"	"POLR2E"	"POLR2L"	"POLR2K"	"POLR2J"	"POLR2I"	"POLA1"	"DCK"	"POLA2"	"HPRT1"	"POLR2D"	"AK3L1"	"POLR2C"	"PFAS"	"POLR2B"	"POLR2A"	"PDE1B"	"ATIC"	"PDE1C"	"NUDT9"	"PDE1A"	"PAPSS1"	"PAPSS2"	"POLR3G"	"POLR3F"	"POLR3H"	"POLR3K"	"NPR1"	"NPR2"	"POLR3GL"	"PDE3A"	"POLR3A"	"POLR3C"	"AMPD2"	"POLR3B"	"AMPD3"	"APRT"	"POLR3D"	"AMPD1"	"ITPA"	"NME1-NME2"	"PDE2A"	"ADCY9"	"PAICS"																																																																																																																																																																																																																																																																																																	
"KEGG_PYRIMIDINE_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PYRIMIDINE_METABOLISM.html"	"CTPS"	"DTYMK"	"PNP"	"PRIM1"	"NT5C3"	"PRIM2"	"NT5C2"	"NUDT2"	"POLE"	"POLR2J2"	"POLR2J3"	"NME7"	"NME6"	"NME4"	"NME5"	"NME2"	"NME3"	"NME1"	"NT5C1A"	"PNPT1"	"NT5C1B"	"ZNRD1"	"CTPS2"	"RRM2B"	"CMPK1"	"TK2"	"CMPK2"	"TK1"	"POLE4"	"POLE2"	"UPRT"	"POLE3"	"ENTPD8"	"DHODH"	"ENTPD5"	"CDA"	"ENTPD6"	"ENTPD3"	"ENTPD4"	"ENTPD1"	"UPB1"	"AK3"	"POLD3"	"POLD4"	"POLD1"	"POLD2"	"DUT"	"CAD"	"CANT1"	"NT5M"	"NT5E"	"NT5C"	"POLR1E"	"POLR1D"	"POLR1A"	"POLR1C"	"POLR1B"	"UMPS"	"RRM2"	"RRM1"	"TXNRD2"	"TXNRD1"	"POLR2H"	"POLR2G"	"POLR2F"	"POLR2E"	"POLR2L"	"POLR2K"	"POLR2J"	"POLR2I"	"POLA1"	"DCK"	"UPP1"	"UPP2"	"DPYS"	"POLA2"	"POLR2D"	"POLR2C"	"POLR2B"	"POLR2A"	"TYMS"	"TYMP"	"UCK1"	"UCK2"	"DCTD"	"POLR3G"	"POLR3F"	"POLR3H"	"POLR3K"	"POLR3A"	"POLR3GL"	"POLR3C"	"POLR3B"	"POLR3D"	"ITPA"	"NME1-NME2"	"UCKL1"	"DPYD"																																																																																																																																																																																																																																																																																																																																																														
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM.html"	"ADSS"	"ASS1"	"GLUD2"	"NIT2"	"GLUD1"	"IL4I1"	"ASNS"	"CAD"	"ASL"	"AGXT"	"PPAT"	"GLS2"	"GOT2"	"ASPA"	"GAD2"	"GOT1"	"ALDH4A1"	"GPT2"	"GAD1"	"ADSSL1"	"ALDH5A1"	"ACY3"	"CPS1"	"DDO"	"GLUL"	"GLS"	"GFPT1"	"GFPT2"	"ADSL"	"ABAT"	"GPT"	"AGXT2"																																																																																																																																																																																																																																																																																																																																																																																																																																
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM.html"	"AMT"	"GCAT"	"PSPH"	"AGXT"	"PIPOX"	"GLDC"	"ALAS1"	"ALAS2"	"SRR"	"DMGDH"	"DAO"	"GNMT"	"SARDH"	"CHDH"	"SHMT1"	"SHMT2"	"GATM"	"MAOA"	"MAOB"	"GLYCTK"	"CTH"	"SDS"	"BHMT"	"DLD"	"PHGDH"	"AGXT2"	"GAMT"	"AOC2"	"PSAT1"	"CBS"	"AOC3"																																																																																																																																																																																																																																																																																																																																																																																																																																	
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_CYSTEINE_AND_METHIONINE_METABOLISM.html"	"LDHC"	"LDHB"	"LDHA"	"AHCY"	"SRM"	"IL4I1"	"GOT2"	"GOT1"	"MAT1A"	"TRDMT1"	"DNMT3L"	"ENOPH1"	"AMD1"	"DNMT3B"	"DNMT3A"	"MAT2A"	"LDHAL6B"	"LDHAL6A"	"CDO1"	"TAT"	"ADI1"	"CTH"	"SDS"	"MTR"	"BHMT"	"DNMT1"	"MTAP"	"AHCYL1"	"MAT2B"	"AHCYL2"	"APIP"	"SMS"	"MPST"	"CBS"																																																																																																																																																																																																																																																																																																																																																																																																																														
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION.html"	"BCAT1"	"HSD17B10"	"ACADSB"	"BCAT2"	"EHHADH"	"HMGCS1"	"IL4I1"	"ECHS1"	"ACAT2"	"ACAT1"	"HIBADH"	"ALDH3A2"	"HADHA"	"AUH"	"HADHB"	"MCCC2"	"MUT"	"IVD"	"MCCC1"	"OXCT1"	"MCEE"	"OXCT2"	"ACAD8"	"HADH"	"HMGCL"	"BCKDHA"	"ACAA2"	"ALDH6A1"	"ACADM"	"ACADS"	"BCKDHB"	"DBT"	"ALDH7A1"	"HMGCS2"	"ALDH1B1"	"DLD"	"AOX1"	"ALDH2"	"ABAT"	"HIBCH"	"PCCB"	"PCCA"	"ALDH9A1"	"ACAA1"																																																																																																																																																																																																																																																																																																																																																																																																																				
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS.html"	"IARS"	"BCAT1"	"BCAT2"	"VARS2"	"LARS"	"PDHA2"	"LARS2"	"PDHA1"	"IARS2"	"VARS"	"PDHB"																																																																																																																																																																																																																																																																																																																																																																																																																																																					
"KEGG_LYSINE_DEGRADATION"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_LYSINE_DEGRADATION.html"	"EHHADH"	"SETD1B"	"SETD1A"	"OGDHL"	"AASS"	"ECHS1"	"ACAT2"	"OGDH"	"ACAT1"	"PIPOX"	"HADHA"	"BBOX1"	"ALDH3A2"	"AASDHPPT"	"PLOD1"	"PLOD2"	"PLOD3"	"SETMAR"	"HADH"	"AASDH"	"AADAT"	"SETDB1"	"GCDH"	"DLST"	"SETDB2"	"EHMT1"	"SUV39H1"	"WHSC1"	"EHMT2"	"SUV39H2"	"SUV420H2"	"DOT1L"	"ALDH7A1"	"ALDH1B1"	"WHSC1L1"	"TMLHE"	"ASH1L"	"ALDH2"	"SETD7"	"SETD8"	"SETD2"	"NSD1"	"ALDH9A1"	"SUV420H1"																																																																																																																																																																																																																																																																																																																																																																																																																				
"KEGG_ARGININE_AND_PROLINE_METABOLISM"	"http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ARGININE_AND_PROLINE_METABOLISM.html"	"SAT1"	"CKMT1B"	"SAT2"	"CKB"	"GOT2"	"GOT1"	"P4HA2"	"P4HA1"	"P4HA3"	"NOS3"	"DAO"	"NOS2"	"GATM"	"OTC"	"LAP3"	"PYCR1"	"PYCR2"	"ALDH7A1"	"GLUL"	"CKM"	"ALDH1B1"	"SMS"	"OAT"	"ADC"	"ALDH9A1"	"PRODH"	"PYCRL"	"ALDH18A1"	"SRM"	"ASS1"	"NAGS"	"GLUD2"	"GLUD1"	"AGMAT"	"ASL"	"ALDH3A2"	"GLS2"	"ARG1"	"CKMT2"	"ARG2"	"ALDH4A1"	"AMD1"	"ODC1"	"NOS1"	"ACY1"	"MAOA"	"MAOB"	"CPS1"	"ABP1"	"CKMT1A"	"GLS"	"ALDH2"	"PRODH2"	"GAMT"																																																																																																																																																																																																																																																																																																																																																																																																										
