,n_patients,tumor_t1t2,event_free_survival,gender,rate,survival
NCKAP5,13,1.0,0.077084330404523588,1.0,0.12363736387342547,0.094769093094138057
ADAM2,11,1.0,0.077084330404523588,1.0,0.099316605329279828,0.12562502232398298
ANK2,24,1.0,0.077084330404523588,1.0,0.13914157161960808,0.12562502232398298
DSEL,11,1.0,0.0926143416880576,1.0,0.38658789287334,0.12562502232398298
PZP,11,1.0,0.2683263123296406,1.0,0.13135285486980239,0.12562502232398298
MORC1,11,1.0,0.2683263123296406,1.0,0.010398863271653281,0.12808489833651285
NLRP12,11,1.0,0.2683263123296406,1.0,0.018111989873450661,0.12808489833651285
CCDC39,13,1.0,0.2683263123296406,1.0,0.22237704965686386,0.19223510791446102
SLC17A8,12,1.0,0.53689753604178214,1.0,0.011752197885091532,0.24153796151050239
CNTN5,15,1.0,0.53689753604178214,1.0,0.039118199251553708,0.3633523408492767
LTBP1,15,0.97168872632301972,0.53689753604178214,1.0,0.043925576451927503,0.36764738149879422
TTN,127,1.0,0.53689753604178214,1.0,0.00041956502073004593,0.36764738149879422
FBXW7,11,1.0,0.53689753604178214,1.0,0.24237096618677809,0.56974107280356201
FRY,13,1.0,0.53689753604178214,1.0,0.037941898057863091,0.57777456196252197
CYP11B1,15,1.0,0.53689753604178214,1.0,0.084180532899669189,0.57777456196252197
TMPRSS15,11,1.0,0.53689753604178214,1.0,0.011752197885091532,0.64663950390389735
PLCE1,12,1.0,0.53689753604178214,1.0,0.038879384219898352,0.64663950390389735
MLL2,34,1.0,0.53689753604178214,1.0,0.15287633245678439,0.64663950390389735
DNAH2,14,1.0,0.53689753604178214,1.0,0.49816359784372855,0.89283905518661377
SACS,14,1.0,0.58806405116063609,1.0,0.11593912637053057,0.57777456196252197
TSHZ3,13,1.0,0.65382849126861231,1.0,0.011039847146089632,0.57777456196252197
RFX6,11,1.0,0.88497227269883405,1.0,0.057321701021904592,0.57777456196252197
OR4M2,13,1.0,0.88497227269883405,1.0,0.7496167942308386,0.57777456196252197
RIMS1,13,1.0,0.88497227269883405,1.0,0.039118199251553708,0.64663950390389735
GRLF1,11,1.0,0.88497227269883405,1.0,0.023735316460532636,0.89283905518661377
LRRC4C,16,0.99066342443299615,0.90892630182070377,1.0,0.0085946529726565642,0.64663950390389735
ELTD1,18,1.0,0.90892630182070377,1.0,0.0025835225193794401,0.64663950390389735
CDH9,18,1.0,0.90892630182070377,1.0,0.037280269417233301,0.64663950390389735
DICER1,11,1.0,0.90892630182070377,1.0,0.013342645325040882,0.65936175934770236
FBN1,14,1.0,0.90892630182070377,1.0,0.015262654803602456,0.83482274667432843
THBS2,14,1.0,0.90892630182070377,1.0,0.048183815188552921,0.89283905518661377
PIK3CA,27,1.0,0.90892630182070377,1.0,0.057842681567461328,0.89283905518661377
DNAH3,15,1.0,0.90892630182070377,1.0,0.090464091503858049,0.89283905518661377
NALCN,15,1.0,0.90892630182070377,1.0,0.25065202651601554,0.89283905518661377
PTEN,14,1.0,0.90892630182070377,1.0,0.75363689137319112,0.89283905518661377
KIF1B,11,0.38661239420244975,0.91039546069171784,1.0,0.287509528176776,0.89283905518661377
DNAH10,23,0.9467782328576313,0.91039546069171784,1.0,0.0055859169848652013,0.89283905518661377
AHNAK2,25,1.0,0.91039546069171784,1.0,0.0021281324091500676,0.89283905518661377
GPR98,30,1.0,0.91039546069171784,1.0,0.0021281324091500676,0.89283905518661377
