num	gene	desc	n	mindist	nmuts0	nmuts3	nmuts12	npairs0	npairs3	npairs12
8583	VHL	von Hippel-Lindau tumor suppressor	133	0	105	319	772	105	319	772
4916	MUC4	mucin 4, cell surface associated	61	0	22	37	78	22	37	78
2407	EBPL	emopamil binding protein-like	6	0	10	10	15	10	10	15
8657	WDR52	WD repeat domain 52	10	0	10	10	10	10	10	10
5049	NBPF10	neuroblastoma breakpoint family, member 10	25	0	7	11	11	7	11	11
733	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	27	0	6	11	21	6	11	21
1884	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	10	0	6	6	6	6	6	6
4901	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	26	0	5	9	19	5	9	19
5050	NBPF9	neuroblastoma breakpoint family, member 9	13	0	3	7	9	3	7	9
8734	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	7	0	3	3	6	3	3	6
4738	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	20	0	3	3	4	3	3	4
2320	DOPEY2	dopey family member 2	5	0	3	3	3	3	3	3
4913	MUC2	mucin 2, oligomeric mucus/gel-forming	11	0	3	3	3	3	3	3
7993	TLK2	tousled-like kinase 2	4	0	3	3	3	3	3	3
8176	TOR1A	torsin family 1, member A (torsin A)	3	0	3	3	3	3	3	3
8502	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	3	0	3	3	3	3	3	3
5678	PBRM1	polybromo 1	108	0	2	7	41	2	7	41
7047	SETD2	SET domain containing 2	32	0	2	4	9	2	4	9
5917	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	10	0	1	9	15	1	9	15
5514	OR5M8	olfactory receptor, family 5, subfamily M, member 8	3	0	1	3	3	1	3	3
7866	TCHH	trichohyalin	6	0	1	3	3	1	3	3
5747	PCLO	piccolo (presynaptic cytomatrix protein)	20	0	1	2	3	1	2	3
1785	CNTNAP4	contactin associated protein-like 4	9	0	1	1	3	1	1	3
4201	LAMA2	laminin, alpha 2 (merosin, congenital muscular dystrophy)	8	0	1	1	3	1	1	3
8834	ZFAND2B	zinc finger, AN1-type domain 2B	3	0	1	1	3	1	1	3
6117	POTEC	POTE ankyrin domain family, member C	6	0	1	1	2	1	1	2
6510	RANBP2	RAN binding protein 2	15	0	1	1	2	1	1	2
7539	SPHKAP	SPHK1 interactor, AKAP domain containing	10	0	1	1	2	1	1	2
84	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	2	0	1	1	1	1	1	1
291	AKT2	v-akt murine thymoma viral oncogene homolog 2	2	0	1	1	1	1	1	1
324	ALLC	allantoicase	3	0	1	1	1	1	1	1
1164	C6orf62	chromosome 6 open reading frame 62	3	0	1	1	1	1	1	1
1350	CCDC160	coiled-coil domain containing 160	2	0	1	1	1	1	1	1
2012	CYB5R3	cytochrome b5 reductase 3	2	0	1	1	1	1	1	1
2111	DCX	doublecortex; lissencephaly, X-linked (doublecortin)	2	0	1	1	1	1	1	1
2739	FAM55C	family with sequence similarity 55, member C	2	0	1	1	1	1	1	1
2932	FNBP1L	formin binding protein 1-like	2	0	1	1	1	1	1	1
3234	GPM6A	glycoprotein M6A	3	0	1	1	1	1	1	1
3378	GUSB	glucuronidase, beta	2	0	1	1	1	1	1	1
3527	HNF1B	HNF1 homeobox B	3	0	1	1	1	1	1	1
3575	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	2	0	1	1	1	1	1	1
3667	IGSF1	immunoglobulin superfamily, member 1	7	0	1	1	1	1	1	1
4028	KIAA1751	KIAA1751	4	0	1	1	1	1	1	1
4184	KRTAP5-7	keratin associated protein 5-7	2	0	1	1	1	1	1	1
