Chromosome Name,HGNC symbol,Gene Start (bp),Gene End (bp)
HG991_PATCH,SLC25A26,66119285,66465398
13,,23551994,23552136
13,HMGA1P6,23708313,23708703
13,RNY3P4,23726725,23726825
13,LINC00362,23743974,23744736
13,RNU6-58P,23791571,23791673
13,TATDN2P3,23817659,23821323
13,LINC00363,93708910,93710179
13,SDAD1P4,23841645,23843289
13,RPLP1P13,23947562,23948200
13,,94021100,94021213
13,SACS-AS1,23993110,24002818
13,HNRNPA1P29,94047230,94048108
13,GPC6-AS2,94470677,94488397
13,RNA5SP35,94677724,94677852
13,LINC00327,24040710,24061603
13,GPC6-AS1,94806447,94840245
13,LINC00352,24072935,24077013
13,,95117554,95117644
13,RNA5SP36,95303651,95303783
13,MTCO3P2,24340073,24340243
13,RN7SL585P,95351479,95351756
13,LINC00391,95351948,95355116
13,SOX21-AS1,95364970,95368500
13,C1QTNF9B-AS1,24463028,24471402
13,BRD7P5,95409705,95411526
13,RPL21P112,95412807,95413269
13,LINC00557,95612295,95613573
13,RNU6-62P,95671489,95671590
13,,95862598,95862702
13,RNY3P8,95963084,95963209
13,ANKRD20A19P,24513696,24520921
13,RNY4P27,95988360,95988455
13,MEMO1P5,96046303,96046708
13,CLDN10-AS1,96131698,96186164
13,,24553949,24609166
13,DNAJC3-AS1,96300987,96329179
13,IPO7P2,24696204,24697953
13,MTND5P2,96344792,96346226
13,MIR2276,24736555,24736643
13,SPATA13-AS1,24826887,24828577
13,MTND6P18,96346237,96346749
13,C1QTNF9-AS1,24889863,24895736
13,MTCYBP3,96346823,96347959
13,NUS1P3,24902349,24903210
13,,96366931,96367032
13,LINC00566,24905588,24911259
13,HMGN1P24,96461564,96461861
13,CYCSP33,24974841,24975167
13,RN7SL164P,96821799,96822099
13,AMMECR1LP1,97225913,97226753
13,TPTE2P6,24982295,25171814
13,HSP90AB6P,97536096,97542067
13,LINC00359,97593535,97636426
13,,25129366,25129451
13,PSPC1P2,25140981,25144866
13,TULP3P1,97599891,97601181
13,,25141011,25171814
13,,97600272,97601838
13,,25183217,25183313
13,RN7SKP7,97601503,97601787
13,RNY1P7,25277694,25277803
13,,97618195,97618268
13,RPL26P34,25278476,25278926
13,,97709633,97709734
13,LINC00456,97824723,97831876
13,IRX1P1,25316815,25320322
13,RNA5SP37,98015226,98015355
13,PSMA6P4,98127996,98128713
13,ANKRD20A10P,25324795,25326309
13,,98327265,98330217
13,,98538063,98538166
13,RPL7AP61,98553907,98554542
13,,98591610,98605793
13,TPTE2P1,25498815,25542625
13,FTLP8,98639204,98639470
13,RN7SKP8,98856089,98856446
13,MIR3170,98860778,98860854
13,,98885904,98886954
13,,98981909,98985490
13,SLC25A15P3,25517713,25518636
13,FARP1-AS1,99087659,99088094
13,,99205497,99206034
13,RPL34P27,25562715,25563063
13,STK24-AS1,99229498,99231084
13,,25715794,25716046
13,NUS1P4,99262546,99263130
13,AMER2-AS1,25746966,25754217
13,CYCSP35,99281940,99282243
13,LINC01053,25755579,25763898
13,CALM2P4,99293068,99293493
13,LINC01076,25767245,25784433
13,RN7SL60P,99324234,99324529
13,RPL23AP69,25780187,25780644
13,DOCK9-AS1,99484338,99486883
HG706_PATCH,BTC,75610476,75660403
13,,25820669,25820753
13,,25874262,25875576
13,RPL7L1P12,99601973,99602701
13,TCEB2P1,25939937,25940293
13,RN7SL289P,26027137,26027428
HG706_PATCH,,75418301,75455198
13,RNU6-83P,99677488,99677599
13,RNU6-78P,26091257,26091363
13,DOCK9-AS2,99740073,99740879
13,,26437388,26437805
13,RPS6P23,99825847,99826744
13,RN7SL741P,26518632,26518891
HG185_PATCH,GAST,39868578,39872221
13,RNY1P3,26524842,26524959
13,LINC00415,26626414,26627523
13,GAPDHP22,99842833,99843245
13,UBAC2-AS1,99848631,99852964
13,ATP8A2P3,26688547,26728313
13,RN7SKP9,99857962,99858260
13,H2AFZP3,99867626,99868012
13,MIR623,100008385,100008482
13,PRUNEP1,26691686,26693102
13,HMGB3P4,100024427,100024940
13,,26803469,26803781
13,CCR12P,100060035,100061316
13,PRKRIRP6,26808350,26811266
13,,100105650,100105723
13,LINC00449,100151981,100153306
13,RPS3AP44,27151023,27151812
13,RNY3P6,100188573,100188650
13,LINC01039,100229366,100232622
13,WASF3-AS1,27180681,27215501
13,CFL1P8,100234960,100235434
13,FGFR1OP2P1,27479499,27479998
13,RPS21P8,27551680,27551926
13,MIR4306,100295313,100295403
13,RPS20P32,27591688,27592046
13,CLYBL-AS2,100342335,100343225
13,USP12-AS1,27736992,27743272
13,CLYBL-AS1,100378501,100379745
13,USP12-AS2,27746396,27757135
13,LINC00412,27810419,27810948
13,,100436111,100436237
13,,100436308,100436411
13,SNORD102,27829201,27829272
13,LINC00554,100647153,100650163
13,SNORA27,27829538,27829663
13,,27894150,27894296
13,NDUFA12P1,100680023,100680428
13,RNU6-70P,27917785,27917883
13,LINC01079,27947485,27948503
13,ASNSP3,100714550,100715855
13,RNY1P1,27976613,27976724
13,,28008286,28008752
13,RNU6-63P,28062275,28062369
13,RPL15P18,100802735,100803346
13,NPM1P4,28270530,28271341
HG185_PATCH,HAP1,39873994,39890896
13,,100850441,100850723
13,RNU6-73P,28402900,28403006
13,PCCA-AS1,101116694,101133411
13,PDX1-AS1,28407581,28495541
13,LINC00543,28527663,28529507
13,RN7SL272P,28563435,28563721
13,,101187995,101232371
13,KATNBL1P1,28641724,28642471
13,CHCHD2P8,28681568,28682014
13,RPS26P47,101192089,101192528
13,PAN3-AS1,28710980,28712330
13,COX5BP6,101276129,101276683
13,EEF1A1P3,28788650,28790034
13,RNU6-82P,28806638,28806744
13,NALCN-AS1,101360579,101711638
13,EIF4A1P7,29172970,29174189
13,RNU6-53P,29277839,29277944
13,ARF4P3,101408805,101409313
13,CYP51P2,29296523,29298158
13,LINC00411,101593116,101596618
13,POM121L13P,29352695,29353074
13,,102369198,102369728
13,,29796699,29796778
13,RNU1-24P,102431234,102431398
13,MTUS2-AS2,29813516,29824691
13,HMGB3P7,102454228,102454838
13,MIR2681,102619992,102620096
13,GAPDHP69,29880915,29881922
13,LIPT1P1,102654475,102655660
13,,29913703,29914006
13,RNY1P2,102669303,102669419
13,MTUS2-AS1,30050652,30064242
13,MIR4705,102698284,102698354
13,RPL39P29,102915396,102915552
13,TIMM8BP1,30440096,30440306
13,LINC00297,30446750,30462542
13,FGF14-IT1,102944677,103046869
13,LINC00572,30492784,30500788
13,FGF14-AS1,103019889,103026016
13,LINC00544,30510042,30524625
13,FGF14-AS2,103046980,103048053
13,,30596158,30597937
13,,103053821,103054807
13,LINC00555,103241722,103242163
13,LINC00365,30677315,30683012
13,,103331776,103332308
13,LINC00384,30726023,30733758
13,,103374152,103374255
13,LINC00283,103395340,103397574
13,LINC00385,30728203,30728723
13,RNY5P8,103472343,103472419
13,,30780753,30780836
13,RNU6-64P,30855902,30856006
13,METTL21EP,103532449,103548383
13,PRDX2P1,30870284,30870872
13,,103541208,103542184
13,LINC00427,30890497,30894040
13,,104077550,104080035
13,ATP6V1G1P7,104096970,104097318
13,RPL7P45,105466678,105467420
13,DAOA-AS1,106111404,106158030
13,LINC00426,30914407,30951282
13,LINC00343,106356629,106416789
13,LINC01058,30993656,30996374
HG185_PATCH,JUP,39910856,39943183
13,,106549872,106549992
13,UBE2L5P,31002084,31002656
13,,106780720,106780837
13,RNA5SP38,106807721,106807839
13,RBM22P2,31113734,31117598
13,LINC00460,107028911,107030565
13,MFAP1P1,31115780,31117034
13,RPL35P9,107078121,107078470
13,PTPN2P2,31127807,31128830
13,LINC00551,107270158,107283707
13,LINC00443,107306264,107324511
13,LINC00398,31377343,31384782
13,ATP5G1P5,107315785,107316195
13,PPIAP24,107516164,107516634
13,TEX26-AS1,31456070,31507983
13,,107594562,107594907
13,,107627286,107627374
13,,107773381,107773471
13,,107973243,107973311
13,MIR1267,108183519,108183596
13,,108288379,108288464
13,FAM155A-IT1,108440690,108487799
13,RNA5SP39,108953560,108953679
13,HCFC2P1,109132574,109134165
13,MYO16-AS2,109753609,109754267
13,LINC00545,31456688,31457532
13,MYO16-AS1,109816250,109853831
13,,31547426,31551760
13,LINC00370,109934321,109940081
21,,19986749,20022678
13,LINC01066,31569299,31570275
13,LINC01067,109962483,109964121
HG185_PATCH,,39958199,39968855
21,MIR548X,20058408,20058482
13,WDR95P,31651391,31689836
13,LINC00399,110053043,110053988
21,,20076689,20076772
13,LINC00676,110380629,110382354
21,PPIAP22,20230097,20230594
13,ANKRD26P4,31885426,31887058
13,,110407168,110407615
13,RN7SKP10,110567443,110567767
13,LINC00396,110705632,110707299
21,,20290252,20308177
13,EEF1DP3,32420978,32527609
21,,20325582,20339376
13,RN7SL783P,110750200,110750498
13,,111066552,111066653
21,,20418629,20420003
13,COL4A2-AS2,111108743,111115634
13,LINC01073,32559822,32565134
21,,20502841,20506741
13,FRY-AS1,32599451,32605776
13,COL4A2-AS1,111154922,111160526
21,SLC6A6P1,20616860,20618709
13,,32872291,32872849
13,,111291555,111292340
21,,20673930,20676056
13,IFIT1P1,32958797,32960245
13,RPL21P107,111415021,111415480
21,RNU1-139P,20717465,20717629
13,LINC00567,111462023,111465431
13,,32994527,32994653
21,RPL37P4,20966155,20966422
13,,32999495,33007091
13,ANKRD10-IT1,111547406,111551519
21,,20993009,20993859
21,,21112023,21112464
13,ATP8A2P2,33051411,33052978
13,PARP1P1,111589106,111592131
21,C1QBPP,21131673,21132442
21,,21265593,21272069
13,LINC00431,111635654,111642911
21,,21629065,21631133
13,LINC00368,111748185,111755444
21,RNU6-772P,21728060,21728164
21,RN7SKP147,21728965,21729208
13,ARHGEF7-AS2,111766159,111768025
13,RNY1P4,33337576,33337690
21,FDPSP6,21760646,21761157
13,LINC00423,33451569,33485788
13,ARHGEF7-IT1,111774999,111796611
21,KRT18P2,21797261,21798518
13,ARHGEF7-AS1,111796652,111797080
13,TOMM22P3,33528195,33528539
21,RPS3AP1,21802755,21803074
13,,33615489,33615580
13,,112248356,112294426
13,STARD13-IT1,33732724,33738546
HG185_PATCH,FKBP10,39968962,39979465
13,LINC00354,112554299,112555490
21,LINC00320,22114908,22175534
13,,112563079,112563148
13,,112706392,112706452
13,,112737863,112739785
13,LINC00404,112760409,112761196
21,PPIAP1,22200445,22200940
13,LINC00403,112761433,112762329
21,,22595616,22599150
13,LINC01070,112851664,112855314
21,,22770068,22770146
21,,22939084,22987758
13,LINC01043,112967781,112976072
21,,23006773,23007049
13,LINC01044,112976881,112985539
21,,23027359,23058649
13,,113372159,113372228
13,ATP11A-AS1,113399763,113409007
21,LINC00317,23095613,23109639
13,,113539551,113539994
13,STARD13-AS,33845516,33855471
13,,113619149,113620445
15,IGHV1OR15-9,20169919,20170354
13,MCF2L-AS1,113621798,113623138
13,,113663092,113663738
21,,23119293,23169735
13,,113663985,113664633
13,F10-AS1,113782469,113783194
13,KARSP2,113784730,113786368
15,IGHV3OR15-7,20192909,20193370
13,,113819316,113819497
21,,23305635,23348000
13,LDHBP1,113930931,113932049
15,IGHD5OR15-5A,20209093,20209115
13,GRTP1-AS1,114005988,114016183
21,,23381263,23470778
13,DCUN1D2-AS,114123216,114130450
15,IGHD4OR15-4A,20210050,20210068
13,RNU1-16P,114133230,114133393
13,LINC00552,114451484,114454062
15,IGHD3OR15-3A,20211158,20211188
13,GAS6-AS1,114518603,114542321
15,IGHD2OR15-2A,20213655,20213685
13,GAS6-AS2,114567141,114569806
21,LINC00308,23470936,23488847
13,,33907816,33909414
13,,114580581,114582349
15,IGHD1OR15-1A,20216406,20216422
13,,33911020,33911109
18,RN7SL247P,21852889,21853170
HG185_PATCH,NT5C3B,39981433,39992515
21,,23507018,23508403
13,,33929343,34250905
18,MIR320C2,21901650,21901699
13,LINC00454,114581673,114586624
18,,21944751,21947948
18,,21982117,21982678
13,,34185104,34185659
13,,34231573,34234065
18,,22009469,22009573
18,,22015328,22019602
13,RNU5A-4P,34403676,34403786
13,,34486129,34486218
13,VDAC1P12,34656566,34657447
13,LINC00452,114586640,114626485
13,,34674848,34674975
15,GOLGA6L6,20737094,20747114
13,,34922180,35188307
13,LINC00457,35009587,35214822
21,,23526270,23526619
13,LINC00565,114629487,114631817
13,,35120066,35245319
21,RNU4-45P,23577511,23577651
13,RASA3-IT1,114873044,114874295
21,,23582258,23793139
13,GAMTP2,35148341,35148803
13,MIR548AR,115009980,115010036
13,,35499971,35502213
21,MAPK6PS2,23808610,23810669
13,MIR4502,115039303,115039383
13,SCAND3P1,35759431,35760816
13,CLCP2,115072121,115072541
13,PHBP13,35825207,35825966
13,LINC01054,115095034,115099423
15,,21004687,21005367
13,,36068551,36068674
13,LINC00445,36271661,36273393
13,RNU6-71P,36841305,36841411
21,IGHV1OR21-1,10862622,10863067
13,,36929928,36930015
13,HIST1H2APS6,37064215,37064578
13,,37302739,37302829
13,GAPDHP34,37314178,37315000
13,TCEAL4P1,37316015,37316602
13,ARL2BPP3,37363469,37369187
HG185_PATCH,KLHL10,39991937,40004636
15,POTEB2,21040701,21071643
13,NDE1P2,37378335,37379439
13,SMAD9-AS1,37423503,37424183
13,LAMTOR3P1,37496676,37497045
13,RPL29P28,37500575,37501356
13,EIF4A1P5,37512537,37513631
13,,37608814,37608929
13,RN7SKP1,37740489,37740795
13,RPS12P24,37794997,37795383
21,,23872924,23892377
13,LINC01048,38055604,38058906
21,RN7SL609P,24052992,24053286
13,RNA5SP26,38428989,38429107
21,,24254903,24256321
13,HSPD1P9,38567222,38568857
21,,24437813,24503528
HG185_PATCH,KLHL11,40009797,40021683
13,LINC00571,38624954,38717369
21,ZNF299P,24462350,24464153
13,LINC00437,39107480,39119436
21,MSANTD2P1,24473545,24475396
13,LINC00366,39150777,39153131
21,RNU2-55P,24654058,24654231
13,PRDX3P3,39191556,39192077
21,,24733426,24757182
13,RNU6-56P,39353561,39353653
13,,39364781,39364891
15,IGHD5OR15-5B,21215823,21215845
13,FREM2-AS1,39395935,39401707
13,PLA2G12AP2,39476524,39476787
15,IGHD4OR15-4B,21216780,21216798
