rank	gene	description	n	cos	n_cos	N_cos	cos_ev	p	q
1	VHL	von Hippel-Lindau tumor suppressor	138	537	138	157341	3461	0	0
2	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	10	184	9	53912	3007	0	0
3	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	10	728	10	213304	76	4.150391e-11	6.257406e-08
4	TP53	tumor protein p53	7	308	7	90244	1411	1.153869e-09	1.304738e-06
5	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	3	51	3	14943	14812	4.519231e-06	4.088097e-03
6	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	7	29	2	8497	2	1.464529e-04	1.104011e-01
7	NF2	neurofibromin 2 (merlin)	4	543	4	159099	32	3.479589e-04	2.248312e-01
8	ONECUT2	one cut homeobox 2	1	1	1	293	1	5.934071e-04	2.439982e-01
9	PDLIM4	PDZ and LIM domain 4	2	1	1	293	1	5.934071e-04	2.439982e-01
10	PRDX5	peroxiredoxin 5	1	1	1	293	1	5.934071e-04	2.439982e-01
11	ZNF532	zinc finger protein 532	1	1	1	293	1	5.934071e-04	2.439982e-01
12	ARHGAP20	Rho GTPase activating protein 20	3	2	1	586	1	1.186462e-03	2.981315e-01
13	DHX32	DEAH (Asp-Glu-Ala-His) box polypeptide 32	1	2	1	586	2	1.186462e-03	2.981315e-01
14	GPR61	G protein-coupled receptor 61	1	2	1	586	1	1.186462e-03	2.981315e-01
15	KCNQ5	potassium voltage-gated channel, KQT-like subfamily, member 5	5	2	1	586	1	1.186462e-03	2.981315e-01
16	MELK	maternal embryonic leucine zipper kinase	1	2	1	586	1	1.186462e-03	2.981315e-01
17	NALCN	sodium leak channel, non-selective	10	2	1	586	1	1.186462e-03	2.981315e-01
18	PRSS16	protease, serine, 16 (thymus)	1	2	1	586	1	1.186462e-03	2.981315e-01
19	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	1	3	1	879	1	1.779165e-03	3.498767e-01
20	DBC1	deleted in bladder cancer 1	2	3	1	879	1	1.779165e-03	3.498767e-01
21	DNAH3	dynein, axonemal, heavy chain 3	9	3	1	879	1	1.779165e-03	3.498767e-01
22	NLRP4	NLR family, pyrin domain containing 4	4	3	1	879	1	1.779165e-03	3.498767e-01
23	TPTE	transmembrane phosphatase with tensin homology	3	3	1	879	1	1.779165e-03	3.498767e-01
24	SBNO1	strawberry notch homolog 1 (Drosophila)	2	4	1	1172	2	2.371516e-03	4.469320e-01
25	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	3	129	2	37797	2	2.786137e-03	4.787137e-01
26	ADAM29	ADAM metallopeptidase domain 29	4	5	1	1465	1	2.963516e-03	4.787137e-01
27	KIF16B	kinesin family member 16B	3	5	1	1465	1	2.963516e-03	4.787137e-01
28	TNPO1	transportin 1	2	5	1	1465	1	2.963516e-03	4.787137e-01
29	IRS1	insulin receptor substrate 1	3	6	1	1758	1	3.555165e-03	5.544831e-01
30	ITPR2	inositol 1,4,5-triphosphate receptor, type 2	7	7	1	2051	1	4.146462e-03	6.049822e-01
31	PIK3C3	phosphoinositide-3-kinase, class 3	3	7	1	2051	1	4.146462e-03	6.049822e-01
32	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	26	10	1	2930	1	5.918250e-03	8.111589e-01
33	SMAD2	SMAD family member 2	3	10	1	2930	3	5.918250e-03	8.111589e-01
34	NTRK3	neurotrophic tyrosine kinase, receptor, type 3	2	16	1	4688	3	9.452374e-03	1
35	ATM	ataxia telangiectasia mutated	13	245	2	71785	3	9.603084e-03	1
36	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	6	285	2	83505	3	1.279339e-02	1
37	CSMD3	CUB and Sushi multiple domains 3	21	22	1	6446	1	1.297393e-02	1
38	KDM6A	lysine (K)-specific demethylase 6A	2	51	1	14943	1	2.981911e-02	1
39	TTN	titin	95	65	1	19045	1	3.784807e-02	1
40	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2	184	1	53912	2	1.034662e-01	1
41	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	2	218	1	63874	3	1.213786e-01	1
42	RB1	retinoblastoma 1 (including osteosarcoma)	1	267	1	78231	3	1.465657e-01	1
43	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1	315	1	92295	6	1.705386e-01	1
44	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	1	0	0	0	0	1	1
45	AACS	acetoacetyl-CoA synthetase	0	0	0	0	0	1	1
46	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	2	0	0	0	0	1	1
47	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	3	0	0	0	0	1	1
48	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	0	0	0	0	0	1	1
49	ABHD2	abhydrolase domain containing 2	1	0	0	0	0	1	1
50	ABHD4	abhydrolase domain containing 4	0	0	0	0	0	1	1
51	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	2	0	0	0	0	1	1
52	ACOT11	acyl-CoA thioesterase 11	0	0	0	0	0	1	1
53	ACRBP	acrosin binding protein	0	0	0	0	0	1	1
54	ACTG1	actin, gamma 1	4	0	0	0	0	1	1
55	ACTR10	actin-related protein 10 homolog (S. cerevisiae)	0	0	0	0	0	1	1
56	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	1	0	0	0	0	1	1
57	ADA	adenosine deaminase	0	0	0	0	0	1	1
58	ADAM20	ADAM metallopeptidase domain 20	0	0	0	0	0	1	1
59	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9	3	0	0	0	0	1	1
60	ADAMTSL1	ADAMTS-like 1	2	0	0	0	0	1	1
61	ADCY4	adenylate cyclase 4	0	0	0	0	0	1	1
62	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	1	0	0	0	0	1	1
63	ADK	adenosine kinase	0	0	0	0	0	1	1
64	ADM	adrenomedullin	0	0	0	0	0	1	1
65	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	0	0	0	0	0	1	1
66	AHDC1	AT hook, DNA binding motif, containing 1	2	0	0	0	0	1	1
67	AK5	adenylate kinase 5	0	0	0	0	0	1	1
68	AKAP10	A kinase (PRKA) anchor protein 10	1	0	0	0	0	1	1
69	ALDH18A1	aldehyde dehydrogenase 18 family, member A1	1	0	0	0	0	1	1
70	ALDOB	aldolase B, fructose-bisphosphate	1	0	0	0	0	1	1
71	ALG13	asparagine-linked glycosylation 13 homolog (S. cerevisiae)	3	0	0	0	0	1	1
72	ALKBH1	alkB, alkylation repair homolog 1 (E. coli)	0	0	0	0	0	1	1
73	ALPL	alkaline phosphatase, liver/bone/kidney	1	0	0	0	0	1	1
74	ANKRD26	ankyrin repeat domain 26	2	0	0	0	0	1	1
75	ANO7	anoctamin 7	0	0	0	0	0	1	1
76	ANP32D	acidic (leucine-rich) nuclear phosphoprotein 32 family, member D	0	0	0	0	0	1	1
77	AP3B1	adaptor-related protein complex 3, beta 1 subunit	0	0	0	0	0	1	1
78	APBA1	amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)	0	0	0	0	0	1	1
79	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	1	0	0	0	0	1	1
80	ARHGAP32	Rho GTPase activating protein 32	2	0	0	0	0	1	1
81	ARHGAP4	Rho GTPase activating protein 4	0	0	0	0	0	1	1
82	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	2	0	0	0	0	1	1
83	ARID4B	AT rich interactive domain 4B (RBP1-like)	1	0	0	0	0	1	1
84	ARSA	arylsulfatase A	0	0	0	0	0	1	1
85	ASZ1	ankyrin repeat, SAM and basic leucine zipper domain containing 1	1	0	0	0	0	1	1
86	ATAD2B	ATPase family, AAA domain containing 2B	0	0	0	0	0	1	1
87	ATL1	atlastin GTPase 1	0	0	0	0	0	1	1
88	ATP13A1	ATPase type 13A1	0	0	0	0	0	1	1
89	ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	2	0	0	0	0	1	1
90	ATXN1	ataxin 1	3	0	0	0	0	1	1
91	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	2	0	0	0	0	1	1
92	BAI1	brain-specific angiogenesis inhibitor 1	1	0	0	0	0	1	1
93	BCL2L14	BCL2-like 14 (apoptosis facilitator)	0	0	0	0	0	1	1
94	BDKRB2	bradykinin receptor B2	1	0	0	0	0	1	1
95	BEND2	BEN domain containing 2	3	0	0	0	0	1	1
96	BEST1	bestrophin 1	2	0	0	0	0	1	1
97	BFSP1	beaded filament structural protein 1, filensin	0	0	0	0	0	1	1
98	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	0	0	0	0	0	1	1
99	BMP3	bone morphogenetic protein 3 (osteogenic)	1	0	0	0	0	1	1
100	BRPF1	bromodomain and PHD finger containing, 1	1	0	0	0	0	1	1
101	BSN	bassoon (presynaptic cytomatrix protein)	3	0	0	0	0	1	1
102	BST1	bone marrow stromal cell antigen 1	0	0	0	0	0	1	1
103	BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)	4	0	0	0	0	1	1
104	BTBD1	BTB (POZ) domain containing 1	0	0	0	0	0	1	1
105	BTNL9	butyrophilin-like 9	1	0	0	0	0	1	1
106	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	1	0	0	0	0	1	1
107	C10orf81	chromosome 10 open reading frame 81	1	0	0	0	0	1	1
108	C12orf42	chromosome 12 open reading frame 42	1	0	0	0	0	1	1
109	C12orf5	chromosome 12 open reading frame 5	0	0	0	0	0	1	1
110	C12orf68	chromosome 12 open reading frame 68	0	0	0	0	0	1	1
111	C14orf159	chromosome 14 open reading frame 159	1	0	0	0	0	1	1
112	C14orf43	chromosome 14 open reading frame 43	1	0	0	0	0	1	1
113	C1orf158	chromosome 1 open reading frame 158	0	0	0	0	0	1	1
114	C1orf59	chromosome 1 open reading frame 59	1	0	0	0	0	1	1
115	C22orf24	chromosome 22 open reading frame 24	0	0	0	0	0	1	1
116	C2orf68	chromosome 2 open reading frame 68	0	0	0	0	0	1	1
117	C3orf14	chromosome 3 open reading frame 14	0	0	0	0	0	1	1
118	C3orf63	chromosome 3 open reading frame 63	4	0	0	0	0	1	1
119	C4orf49		0	0	0	0	0	1	1
120	C6orf150	chromosome 6 open reading frame 150	0	0	0	0	0	1	1
121	C6orf165	chromosome 6 open reading frame 165	0	0	0	0	0	1	1
122	CAB39	calcium binding protein 39	0	0	0	0	0	1	1
123	CABIN1	calcineurin binding protein 1	4	0	0	0	0	1	1
124	CABP1	calcium binding protein 1	0	0	0	0	0	1	1
125	CACNA1E	calcium channel, voltage-dependent, R type, alpha 1E subunit	3	0	0	0	0	1	1
126	CACNA1I	calcium channel, voltage-dependent, T type, alpha 1I subunit	2	0	0	0	0	1	1
127	CACNA1S	calcium channel, voltage-dependent, L type, alpha 1S subunit	8	0	0	0	0	1	1
128	CACNG4	calcium channel, voltage-dependent, gamma subunit 4	0	0	0	0	0	1	1
129	CALM1	calmodulin 1 (phosphorylase kinase, delta)	2	0	0	0	0	1	1
130	CAPZA3	capping protein (actin filament) muscle Z-line, alpha 3	0	0	0	0	0	1	1
131	CARD14	caspase recruitment domain family, member 14	0	0	0	0	0	1	1
132	CARD9	caspase recruitment domain family, member 9	1	0	0	0	0	1	1
133	CASP10	caspase 10, apoptosis-related cysteine peptidase	2	0	0	0	0	1	1
134	CCDC135	coiled-coil domain containing 135	0	0	0	0	0	1	1
135	CCDC157	coiled-coil domain containing 157	0	0	0	0	0	1	1
136	CCDC22	coiled-coil domain containing 22	0	0	0	0	0	1	1
137	CCR2	chemokine (C-C motif) receptor 2	0	0	0	0	0	1	1
138	CCR5	chemokine (C-C motif) receptor 5	0	0	0	0	0	1	1
139	CDH24	cadherin-like 24	2	0	0	0	0	1	1
140	CDK16	cyclin-dependent kinase 16	0	0	0	0	0	1	1
141	CDK4	cyclin-dependent kinase 4	1	0	0	0	0	1	1
142	CDX2	caudal type homeobox 2	2	0	0	0	0	1	1
143	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	0	0	0	0	0	1	1
144	CEACAM18	carcinoembryonic antigen-related cell adhesion molecule 18	0	0	0	0	0	1	1
145	CERK	ceramide kinase	0	0	0	0	0	1	1
146	CFH	complement factor H	4	0	0	0	0	1	1
147	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	4	0	0	0	0	1	1
148	CHDH	choline dehydrogenase	0	0	0	0	0	1	1
149	CHI3L2	chitinase 3-like 2	0	0	0	0	0	1	1
150	CHIC2	cysteine-rich hydrophobic domain 2	0	0	0	0	0	1	1
151	CHRNA4	cholinergic receptor, nicotinic, alpha 4	0	0	0	0	0	1	1
152	CIITA	class II, major histocompatibility complex, transactivator	1	0	0	0	0	1	1
153	CLASP1	cytoplasmic linker associated protein 1	3	0	0	0	0	1	1
154	CLCN4	chloride channel 4	1	0	0	0	0	1	1
155	CLEC4E	C-type lectin domain family 4, member E	0	0	0	0	0	1	1
156	CLIC1	chloride intracellular channel 1	0	0	0	0	0	1	1
157	CLTA	clathrin, light chain (Lca)	1	0	0	0	0	1	1
158	CMTM3	CKLF-like MARVEL transmembrane domain containing 3	0	0	0	0	0	1	1
159	CNNM2	cyclin M2	2	0	0	0	0	1	1
160	CNOT10	CCR4-NOT transcription complex, subunit 10	2	0	0	0	0	1	1
161	CNTNAP2	contactin associated protein-like 2	3	0	0	0	0	1	1
162	COL11A2	collagen, type XI, alpha 2	1	0	0	0	0	1	1
163	COPB1	coatomer protein complex, subunit beta 1	1	0	0	0	0	1	1
164	COTL1	coactosin-like 1 (Dictyostelium)	0	0	0	0	0	1	1
165	CPB1	carboxypeptidase B1 (tissue)	2	0	0	0	0	1	1
166	CPN1	carboxypeptidase N, polypeptide 1	0	0	0	0	0	1	1
167	CPNE4	copine IV	0	0	0	0	0	1	1
168	CPT1B	carnitine palmitoyltransferase 1B (muscle)	0	0	0	0	0	1	1
169	CPT1C	carnitine palmitoyltransferase 1C	0	0	0	0	0	1	1
170	CREB1	cAMP responsive element binding protein 1	0	0	0	0	0	1	1
171	CRISP3	cysteine-rich secretory protein 3	1	0	0	0	0	1	1
172	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	0	0	0	0	0	1	1
173	CSNK2A2	casein kinase 2, alpha prime polypeptide	0	0	0	0	0	1	1
174	CSTF1	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa	0	0	0	0	0	1	1
175	CTH	cystathionase (cystathionine gamma-lyase)	1	0	0	0	0	1	1
176	CTSW	cathepsin W	1	0	0	0	0	1	1
177	CTSZ	cathepsin Z	0	0	0	0	0	1	1
178	CTU2	cytosolic thiouridylase subunit 2 homolog (S. pombe)	0	0	0	0	0	1	1
179	CXXC5	CXXC finger 5	0	0	0	0	0	1	1
