HGNC symbol,Chromosome Name,Gene Start (bp),Gene End (bp)
SNORA58,3,131197941,131198077
MIR4311,HSCHR15_1_CTG8,66332571,66332670
MIR4453,4,153457580,153457668
SNORD3D,17,19015734,19015949
SNORA32,11,93464145,93464265
RNA5SP136,3,72740856,72740962
MIR3133,2,242417320,242417397
SNORD113-3,14,101396256,101396328
MIR4764,22,33832568,33832655
SNORD115-7,15,25427532,25427613
MIR30B,8,135812763,135812850
MIR495,14,101500092,101500173
SNORA68,19,17973397,17973529
RNA5SP218,6,134578173,134578281
SNORD18B,15,66794358,66794429
SNORD113-9,14,101411986,101412057
MIR1249,22,45596835,45596900
MIR4455,4,185859537,185859594
MIR4292,9,139725409,139725475
RNU5F-3P,18,6017722,6017838
MIR4680,10,112657848,112657913
SNORD115-10,15,25432683,25432763
MIR1302-5,20,49231173,49231322
MIR548AI,6,99572485,99572572
RNA5SP380,14,20558289,20558386
MIR323A,14,101492069,101492154
RNU6-37,1,10359024,10359130
MIR521-2,19,54219848,54219934
MIR4733,17,29421368,29421443
RNA5SP94,2,59921897,59922004
MIR5090,7,102106189,102106273
RNU4ATAC2P,5,158745050,158745175
MIR513A1,X,146294981,146295109
MIR601,9,126164804,126164882
MIR933,2,176032361,176032437
RNU2-5P,9,72803487,72803666
SNORD3C,17,19093343,19093558
SNORD113-6,14,101405893,101405968
RNU1-4,1,17067011,17067174
RNA5SP254,8,12191153,12191202
MIR541,14,101530832,101530915
RNA5SP342,11,71556242,71556291
SNORD101,6,133136446,133136518
MIR208B,14,23887196,23887272
RNA5SP259,8,28387928,28388036
MIRLET7I,12,62997466,62997550
MIR138-2,16,56892430,56892513
MIR4473,9,20411146,20411236
MIR548S,2,11907570,11907651
RNU6-67,13,83872206,83872302
MIR4325,20,55896558,55896647
SNORD116-24,15,25339184,25339275
RNA5SP53,1,93953890,93954009
SNORA70C,9,119943345,119943479
RNY4P31,13,61390831,61390923
MIR548M,X,94318140,94318225
RNU6-47,5,108350535,108350641
MIR548AL,11,74110282,74110378
MIR4686,11,2194293,2194368
SNORD123,5,9548948,9549017
