rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_ks	p_cons	p_joint	p	q
1	PBRM1	polybromo 1	1470408	108	106	105	1	0	1	6	15	86	0	<1.00e-15	1.78e-06	0.0583	0.0408	0.0171	<6.66e-16	<4.42e-12
2	VHL	von Hippel-Lindau tumor suppressor	123072	138	138	92	1	1	13	9	31	84	0	<1.00e-15	1.32e-10	2.00e-07	2.00e-07	0.000	<1.00e-15	<4.42e-12
3	SV2C	synaptic vesicle glycoprotein 2C	653960	3	3	3	0	0	1	1	0	1	0	0.0647	0.297	0.142	0.00172	0.000	<1.00e-15	<4.42e-12
4	TPST1	tyrosylprotein sulfotransferase 1	330797	2	2	2	0	0	0	0	1	1	0	0.0498	0.737	0.0802	0.000878	0.000	<1.00e-15	<4.42e-12
5	SETD2	SET domain containing 2	1866089	33	33	33	1	2	2	2	6	20	1	7.22e-15	0.00515	0.0127	0.0276	0.00424	1.22e-15	4.42e-12
6	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	589189	27	27	24	1	0	2	6	4	14	1	3.00e-15	0.00422	0.0502	0.554	0.0916	1.01e-14	3.05e-11
7	KDM5C	lysine (K)-specific demethylase 5C	1253863	18	18	18	0	0	0	1	5	12	0	5.44e-12	0.0438	0.00567	0.295	0.0125	2.12e-12	5.49e-09
8	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	2294678	26	24	22	2	1	2	4	19	0	0	1.37e-08	0.0428	0.00502	0.514	0.00885	2.89e-09	6.55e-06
9	EBPL	emopamil binding protein-like	139558	7	6	3	0	1	0	0	6	0	0	1.89e-07	0.199	0.000318	0.996	0.000969	4.29e-09	8.64e-06
10	MUC4	mucin 4, cell surface associated	958196	65	41	50	15	4	0	22	35	4	0	5.12e-09	0.159	NaN	NaN	NaN	5.12e-09	9.28e-06
11	TP53	tumor protein p53	372038	7	6	7	1	2	0	3	1	1	0	4.99e-05	0.302	0.000122	0.000921	1.88e-05	2.04e-08	3.37e-05
12	TOR1A	torsin family 1, member A (torsin A)	280456	3	3	1	0	0	0	3	0	0	0	0.0149	0.271	6.60e-06	0.00103	2.00e-07	6.13e-08	8.23e-05
13	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	365609	10	9	10	0	0	0	2	2	6	0	1.23e-08	0.0588	0.167	0.514	0.249	6.34e-08	8.23e-05
14	NBPF10	neuroblastoma breakpoint family, member 10	1006919	25	19	17	5	2	2	5	16	0	0	1.55e-05	0.361	4.00e-05	1.000	0.000199	6.36e-08	8.23e-05
15	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	180195	3	3	1	0	0	0	3	0	0	0	0.00329	0.314	6.00e-06	1.000	1.12e-05	6.67e-07	0.000806
16	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	963086	10	10	9	0	0	0	5	4	1	0	2.57e-05	0.0678	0.0100	0.463	0.0162	6.55e-06	0.00742
