Hybridization REF,chrom,start
LOC643635,1,1743
LOC643643,1,3411
LOC653635,1,3757
LOC645520,1,23390
OR4G4P,1,42315
OR4G11P,1,52878
OR4F5,1,58954
LOC645543,1,81085
LOC653340,1,81085
LOC643670,1,127146
LOC653341,1,217813
LOC643698,1,308989
LOC440550,1,319141
LOC653345,1,356729
LOC440551,1,534556
LOC643788,1,544632
LOC643794,1,558000
OR4F29,1,610959
LOC643313,1,644093
LOC388572,1,658135
LOC388578,1,703961
FAM87B,1,742620
FLJ22639,1,751449
LOC643837,1,766574
FAM41C,1,793321
LOC388579,1,798535
SAMD11,1,850984
NOC2L,1,869459
KLHL17,1,885830
PLEKHN1,1,891740
C1orf170,1,900448
HES4,1,924207
G1P2,1,938742
AGRN,1,945366
LOC643921,1,986902
C1orf159,1,1007068
TTLL10,1,1104940
TNFRSF18,1,1128751
TNFRSF4,1,1136569
SDF4,1,1142151
B3GALT6,1,1157508
C1QDC2,1,1167695
UBE2J2,1,1179155
SCNN1D,1,1207439
CENTB5,1,1218807
PUSL1,1,1233857
CPSF3L,1,1236842
MGC10334,1,1250006
DVL1,1,1260521
MXRA8,1,1277934
LOC643556,1,1298979
MRPL20,1,1327159
LOC441869,1,1344343
LOC643965,1,1351425
VWA1,1,1360772
ATAD3C,1,1374938
ATAD3B,1,1397027
ATAD3A,1,1437418
C1orf70,1,1460602
SSU72,1,1466916
LOC643988,1,1523257
MIB2,1,1540747
MMP23B,1,1557423
MMP23A,1,1557446
LOC653335,1,1560469
SLC35E2,1,1582803
LOC653409,1,1619121
CDC2L1,1,1624180
CDC2L2,1,1624180
NADK,1,1672531
GNB1,1,1706589
LOC653416,1,1812115
CALML6,1,1836126
TMEM52,1,1838890
LOC339457,1,1843256
LOC644136,1,1847366
KIAA1751,1,1874618
GABRD,1,1940703
PRKCZ,1,1971769
C1orf86,1,2105777
SKI,1,2149994
MORN1,1,2242556
RER1,1,2313189
PEX10,1,2326101
PLCL4,1,2347285
PANK4,1,2429835
HES5,1,2450044
TNFRSF14,1,2479150
C1orf93,1,2508109
MELL1,1,2511941
LOC391205,1,2562667
LOC390988,1,2689996
ACTRT2,1,2927926
FLJ42875,1,2966041
PRDM16,1,2975604
ARHGEF16,1,3369982
EGFL3,1,3396334
FAM79A,1,3531416
WDR8,1,3537199
TP73,1,3558989
KIAA0495,1,3643573
CCDC27,1,3658822
LOC388588,1,3679218
LRRC47,1,3686644
GlyBP,1,3718513
DFFB,1,3763705
LOC339448,1,3795557
LOC644300,1,3936037
LOC644357,1,4134127
AJAP1,1,4614965
NPHP4,1,5845457
KCNAB2,1,6008967
CHD5,1,6084440
RPL22,1,6167667
FLJ46380,1,6188122
C1orf188,1,6191507
ICMT,1,6203840
MGC40168,1,6220455
HES3,1,6226232
GPR153,1,6231443
ACOT7,1,6246919
HES2,1,6397883
ESPN,1,6407435
TNFRSF25,1,6443798
PLEKHG5,1,6449460
NOL9,1,6507792
TAS1R1,1,6538021
HKR3,1,6562698
KLHL21,1,6573371
PHF13,1,6596332
THAP3,1,6607839
DNAJC11,1,6616818
CAMTA1,1,6767971
VAMP3,1,7753916
PER3,1,7767350
UTS2,1,7830262
TNFRSF9,1,7902494
LOC644827,1,7925098
PARK7,1,7944380
ERRFI1,1,7994381
LOC390993,1,8039887
SLC45A1,1,8197379
RERE,1,8335044
LOC644896,1,8768792
ENO1,1,8843650
LOC148915,1,8867565
CA6,1,8928509
SLC2A7,1,8985946
SLC2A5,1,9019594
GPR157,1,9087063
LOC644929,1,9164594
H6PD,1,9217450
SPSB1,1,9275571
MGC4399,1,9522145
LOC642740,1,9558428
RP13-15M17.2,1,9571567
PIK3CD,1,9634390
LOC644997,1,9635261
CLSTN1,1,9711666
LOC645010,1,9808940
CTNNBIP1,1,9830921
